WEEK,start_date,end_date,SEASON
45,4-Nov-13,10-Nov-13,2012-13
46,11-Nov-13,17-Nov-13,2012-13
47,18-Nov-13,24-Nov-13,2012-13
48,25-Nov-13,1-Dec-13,2012-13
49,2-Dec-13,8-Dec-13,2012-13
50,9-Dec-13,15-Dec-13,2012-13
51,16-Dec-13,22-Dec-13,2012-13
52,23-Dec-13,29-Dec-13,2012-13
53,30-Dec-13,5-Jan-14,2012-13
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
