region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 6,2016,10,4501,532,399,20.6843,11.8196,8.8647,2016-03-06
HHS Regions,Region 7,2016,10,1412,158,28,13.1728,11.1898,1.983,2016-03-06
HHS Regions,Region 8,2016,10,2953,442,193,21.5036,14.9678,6.53573,2016-03-06
HHS Regions,Region 9,2016,10,2514,268,213,19.1329,10.6603,8.47255,2016-03-06
HHS Regions,Region 10,2016,10,1290,146,149,22.8682,11.3178,11.5504,2016-03-06
HHS Regions,Region 1,2016,11,2527,469,118,23.2291,18.5596,4.66957,2016-03-13
HHS Regions,Region 2,2016,11,3886,870,213,27.8693,22.3881,5.48121,2016-03-13
HHS Regions,Region 3,2016,11,2671,421,146,21.228,15.7619,5.46612,2016-03-13
HHS Regions,Region 4,2016,11,5830,805,275,18.5249,13.8079,4.71698,2016-03-13
HHS Regions,Region 5,2016,11,7156,1201,251,20.2907,16.7831,3.50755,2016-03-13
HHS Regions,Region 6,2016,11,4183,436,326,18.2166,10.4231,7.79345,2016-03-13
HHS Regions,Region 7,2016,11,1273,92,19,8.71956,7.2270200000000004,1.49254,2016-03-13
HHS Regions,Region 8,2016,11,2856,414,143,19.5028,14.4958,5.007,2016-03-13
HHS Regions,Region 9,2016,11,2573,181,179,13.9914,7.03459,6.95686,2016-03-13
HHS Regions,Region 10,2016,11,1278,158,120,21.7527,12.3631,9.38967,2016-03-13
HHS Regions,Region 1,2016,12,2462,398,128,21.3647,16.1657,5.19903,2016-03-20
HHS Regions,Region 2,2016,12,3619,678,213,24.6201,18.7345,5.8856,2016-03-20
HHS Regions,Region 3,2016,12,2516,373,155,20.9857,14.8251,6.16057,2016-03-20
HHS Regions,Region 4,2016,12,5172,643,241,17.092,12.4323,4.65971,2016-03-20
HHS Regions,Region 5,2016,12,5753,773,220,17.2606,13.4365,3.82409,2016-03-20
HHS Regions,Region 6,2016,12,3593,364,265,17.5063,10.1308,7.37545,2016-03-20
HHS Regions,Region 7,2016,12,1205,82,20,8.46473,6.80498,1.65975,2016-03-20
HHS Regions,Region 8,2016,12,2581,329,134,17.9388,12.747,5.19179,2016-03-20
HHS Regions,Region 9,2016,12,2059,137,131,13.016,6.65372,6.36231,2016-03-20
HHS Regions,Region 10,2016,12,1201,142,145,23.8968,11.8235,12.0733,2016-03-20
HHS Regions,Region 1,2016,13,2380,352,141,20.7143,14.7899,5.92437,2016-03-27
HHS Regions,Region 2,2016,13,3283,458,205,20.1949,13.9507,6.24429,2016-03-27
HHS Regions,Region 3,2016,13,2320,277,145,18.1897,11.9397,6.25,2016-03-27
HHS Regions,Region 4,2016,13,4572,401,242,14.0639,8.77078,5.29309,2016-03-27
HHS Regions,Region 5,2016,13,5051,570,168,14.611,11.2849,3.32607,2016-03-27
HHS Regions,Region 6,2016,13,3696,360,291,17.6136,9.74026,7.87338,2016-03-27
HHS Regions,Region 7,2016,13,1144,76,31,9.35315,6.64336,2.70979,2016-03-27
HHS Regions,Region 8,2016,13,2210,253,101,16.0181,11.448,4.57014,2016-03-27
HHS Regions,Region 9,2016,13,1778,100,71,9.61755,5.6243,3.99325,2016-03-27
HHS Regions,Region 10,2016,13,1169,118,119,20.2737,10.0941,10.1796,2016-03-27
HHS Regions,Region 1,2016,14,1964,184,132,16.0896,9.36864,6.72098,2016-04-03
HHS Regions,Region 2,2016,14,2817,274,204,16.9684,9.72666,7.24175,2016-04-03
HHS Regions,Region 3,2016,14,1848,147,125,14.7186,7.95455,6.76407,2016-04-03
HHS Regions,Region 4,2016,14,4297,307,258,13.1487,7.14452,6.00419,2016-04-03
HHS Regions,Region 5,2016,14,4537,374,156,11.6817,8.24333,3.4384,2016-04-03
HHS Regions,Region 6,2016,14,2959,284,241,17.7425,9.59784,8.14464,2016-04-03
HHS Regions,Region 7,2016,14,938,49,28,8.20896,5.22388,2.98507,2016-04-03
HHS Regions,Region 8,2016,14,1912,191,89,14.6444,9.98954,4.65481,2016-04-03
HHS Regions,Region 9,2016,14,1681,65,68,7.91196,3.86675,4.04521,2016-04-03
HHS Regions,Region 10,2016,14,1026,96,89,18.0312,9.35673,8.67446,2016-04-03
HHS Regions,Region 1,2016,15,1743,142,154,16.9822,8.14687,8.83534,2016-04-10
HHS Regions,Region 2,2016,15,2450,188,211,16.2857,7.67347,8.61224,2016-04-10
HHS Regions,Region 3,2016,15,1725,128,142,15.6522,7.42029,8.23188,2016-04-10
HHS Regions,Region 4,2016,15,4041,232,254,12.0267,5.74115,6.28557,2016-04-10
HHS Regions,Region 5,2016,15,3973,393,178,14.372,9.89177,4.48024,2016-04-10
HHS Regions,Region 6,2016,15,2901,177,223,13.7883,6.10134,7.687,2016-04-10
HHS Regions,Region 7,2016,15,892,40,39,8.8565,4.4843,4.3722,2016-04-10
HHS Regions,Region 8,2016,15,1642,102,72,10.5968,6.21194,4.3849,2016-04-10
HHS Regions,Region 9,2016,15,1415,48,33,5.72438,3.39223,2.33216,2016-04-10
HHS Regions,Region 10,2016,15,901,56,58,12.6526,6.21532,6.43729,2016-04-10
HHS Regions,Region 1,2016,16,1602,114,147,16.2921,7.1161,9.17603,2016-04-17
HHS Regions,Region 2,2016,16,2236,150,220,16.5474,6.70841,9.839,2016-04-17
HHS Regions,Region 3,2016,16,1717,119,206,18.9284,6.93069,11.9977,2016-04-17
HHS Regions,Region 4,2016,16,3783,181,244,11.2345,4.78456,6.44991,2016-04-17
HHS Regions,Region 5,2016,16,3427,223,184,11.8763,6.50715,5.36913,2016-04-17
HHS Regions,Region 6,2016,16,2832,147,162,10.911,5.19068,5.72034,2016-04-17
HHS Regions,Region 7,2016,16,872,27,40,7.68349,3.09633,4.58716,2016-04-17
HHS Regions,Region 8,2016,16,1436,79,65,10.0279,5.50139,4.52646,2016-04-17
HHS Regions,Region 9,2016,16,1224,35,23,4.73856,2.85948,1.87908,2016-04-17
HHS Regions,Region 10,2016,16,731,48,38,11.7647,6.56635,5.19836,2016-04-17
HHS Regions,Region 1,2016,17,1354,79,127,15.2142,5.83456,9.37962,2016-04-24
HHS Regions,Region 2,2016,17,2127,80,179,12.1768,3.76117,8.41561,2016-04-24
HHS Regions,Region 3,2016,17,1595,58,167,14.1066,3.63636,10.4702,2016-04-24
HHS Regions,Region 4,2016,17,3501,108,231,9.68295,3.08483,6.59811,2016-04-24
HHS Regions,Region 5,2016,17,2979,137,191,11.0104,4.59886,6.41155,2016-04-24
HHS Regions,Region 6,2016,17,2533,108,121,9.04066,4.26372,4.77694,2016-04-24
HHS Regions,Region 7,2016,17,736,16,36,7.06522,2.17391,4.8913,2016-04-24
HHS Regions,Region 8,2016,17,1164,44,40,7.21649,3.78007,3.43643,2016-04-24
HHS Regions,Region 9,2016,17,1312,31,26,4.34451,2.3628,1.98171,2016-04-24
HHS Regions,Region 10,2016,17,669,40,25,9.71599,5.97907,3.73692,2016-04-24
HHS Regions,Region 1,2016,18,1139,45,92,12.0281,3.95083,8.07726,2016-05-01
HHS Regions,Region 2,2016,18,1837,48,154,10.9962,2.61296,8.38323,2016-05-01
